member_ref,zip5,birth_date,gender,plan_tier
M0000,02139,1955-01-01,female,basic
M0001,02140,1956-08-12,male,standard
M0002,10001,1957-03-23,nonbinary,standard
M0003,94110,1958-10-06,female,standard
M0004,60601,1959-05-17,male,basic
M0005,30301,1960-12-28,nonbinary,standard
M0006,73301,1961-07-11,female,standard
M0007,98101,1962-02-22,male,standard
M0008,02139,1963-09-05,nonbinary,standard
M0009,02140,1964-04-16,female,standard
M0010,10001,1965-11-27,male,standard
M0011,94110,1966-06-10,nonbinary,basic
M0012,60601,1967-01-21,female,basic
M0013,30301,1968-08-04,male,premium
M0014,73301,1969-03-15,nonbinary,basic
M0015,98101,1970-10-26,female,premium
M0016,02139,1971-05-09,male,basic
M0017,02140,1972-12-20,nonbinary,premium
M0018,10001,1973-07-03,female,premium
M0019,94110,1974-02-14,male,premium
M0020,60601,1975-09-25,nonbinary,premium
M0021,30301,1976-04-08,female,basic
M0022,73301,1977-11-19,male,basic
M0023,98101,1978-06-02,nonbinary,premium
M0024,02139,1979-01-13,female,premium
M0025,02140,1980-08-24,male,premium
M0026,10001,1981-03-07,nonbinary,standard
M0027,94110,1982-10-18,female,premium
M0028,60601,1983-05-01,male,basic
M0029,30301,1984-12-12,nonbinary,standard
M0030,73301,1985-07-23,female,premium
M0031,98101,1986-02-06,male,premium
M0032,02139,1987-09-17,nonbinary,premium
M0033,02140,1988-04-28,female,premium
M0034,10001,1989-11-11,male,basic
M0035,94110,1990-06-22,nonbinary,standard
M0036,60601,1991-01-05,female,basic
M0037,30301,1992-08-16,male,premium
M0038,73301,1993-03-27,nonbinary,basic
M0039,98101,1994-10-10,female,premium
M0040,02139,1995-05-21,male,basic
M0041,02140,1996-12-04,nonbinary,standard
M0042,10001,1997-07-15,female,premium
M0043,94110,1998-02-26,male,basic
M0044,60601,1999-09-09,nonbinary,standard
M0045,30301,1955-04-20,female,standard
M0046,73301,1956-11-03,male,basic
M0047,98101,1957-06-14,nonbinary,premium
M0048,02139,1958-01-25,female,basic
M0049,02140,1959-08-08,male,basic
M0050,10001,1960-03-19,nonbinary,basic
M0051,94110,1961-10-02,female,basic
M0052,60601,1962-05-13,male,basic
M0053,30301,1963-12-24,nonbinary,basic
M0054,73301,1964-07-07,female,standard
M0055,98101,1965-02-18,male,basic
